Кто/Что,Отношение,К чему/С чем
Слесарь,должен_носить,Костюм хлопчатобумажный
Слесарь,должен_носить,Ботинки кожаные на нескользящей подошве
Слесарь,должен_носить,Защитные перчатки
Слесарь,должен_носить,Защитные очки при работе с инструментом
Слесарь,должен_носить,Каска при работе в подвалах и технических помещениях
Слесарь,работает_с,Трубопроводы водоснабжения и канализации
Слесарь,работает_с,Запорная арматура
Слесарь,работает_с,Ручной слесарный инструмент
Слесарь,работает_с,Электроинструмент
Слесарь,работает_с,Паяльное оборудование
Слесарь,работает_с,Сварочный аппарат
Слесарь,подвержен_риску,Травмы рук от острых кромок труб
Слесарь,подвержен_риску,Ожоги при пайке и сварке
Слесарь,подвержен_риску,Поражение электротоком от электроинструмента
Слесарь,подвержен_риску,Отравление парами растворителей
Слесарь,подвержен_риску,Падение в технических помещениях
Слесарь,подвержен_риску,Инфицирование при работе с канализацией
Слесарь,обязан_перед_работой,Проверить исправность инструмента и оборудования
Слесарь,обязан_перед_работой,Убедиться в наличии вентиляции в рабочем помещении
Слесарь,обязан_перед_работой,Осмотреть рабочее место на предмет опасностей
Слесарь,обязан_перед_работой,Подготовить средства индивидуальной защиты
Слесарь,обязан_во_время_работы,Использовать только исправный инструмент
Слесарь,обязан_во_время_работы,Обеспечить хорошее освещение рабочего места
Слесарь,обязан_во_время_работы,При работе с химическими веществами использовать респиратор
Слесарь,обязан_во_время_работы,Не работать в одиночку в подвальных помещениях
Слесарь,обязан_после_работы,Привести в порядок рабочее место
Слесарь,обязан_после_работы,Очистить и убрать инструмент
Слесарь,обязан_после_работы,Закрыть запорную арматуру
Слесарь,обязан_после_работы,Вымыть руки с мылом и обработать антисептиком
Слесарь,строго_запрещено,Работать неисправным инструментом
Слесарь,строго_запрещено,Курить и использовать открытый огонь в технических помещения...
Слесарь,строго_запрещено,Работать без средств защиты органов дыхания при работе с кан...
Слесарь,строго_запрещено,Оставлять включенным электроинструмент без присмотра
Электрик,должен_носить,Диэлектрические перчатки (до 1000В)
Электрик,должен_носить,Диэлектрические боты или галоши
Электрик,должен_носить,Каска защитная
Электрик,должен_носить,Защитные очки
Электрик,должен_носить,Костюм из негорючих материалов
Электрик,работает_с,Электрощитовые жилых домов
Электрик,работает_с,Освещение подъездов и придомовых территорий
Электрик,работает_с,Электропроводка в квартирах и технических помещениях
Электрик,работает_с,Лифтовое оборудование
Электрик,работает_с,Домофоны и системы видеонаблюдения
Электрик,подвержен_риску,Поражение электрическим током
Электрик,подвержен_риску,Электрические ожоги от дуги
Электрик,подвержен_риску,Падение при работе на лестницах
Электрик,подвержен_риску,Травмы от неисправного инструмента
Электрик,подвержен_риску,Отравление газами в подвальных помещениях
Электрик,обязан_перед_работой,Проверить отсутствие напряжения указателем
Электрик,обязан_перед_работой,Вывесить предупреждающие плакаты
Электрик,обязан_перед_работой,Заземлить отключенные участки
Электрик,обязан_перед_работой,Проверить исправность диэлектрических СИЗ
Электрик,обязан_перед_работой,Уведомить диспетчера о начале работ
Электрик,обязан_во_время_работы,Работать только в диэлектрических перчатках
Электрик,обязан_во_время_работы,Использовать изолирующие подставки
Электрик,обязан_во_время_работы,Не прикасаться к токоведущим частям
Электрик,обязан_во_время_работы,Работать под наблюдением при работах в электроустановках свы...
Электрик,обязан_после_работы,Снять заземления
Электрик,обязан_после_работы,Убрать предупреждающие плакаты
Электрик,обязан_после_работы,Включить электропитание
Электрик,обязан_после_работы,Проверить работоспособность оборудования
Электрик,обязан_после_работы,Записать выполненные работы в журнал
Электрик,строго_запрещено,Работать под напряжением без соответствующего допуска
Электрик,строго_запрещено,Использовать неисправный инструмент
Электрик,строго_запрещено,Работать во влажных помещениях без дополнительных мер защиты
Электрик,строго_запрещено,Оставлять электроустановки без присмотра
Дворник,должен_носить,Сигнальный жилет при работе вблизи дорог
Дворник,должен_носить,Резиновые сапоги
Дворник,должен_носить,Рабочие перчатки
Дворник,должен_носить,Респиратор при работе с пылью
Дворник,должен_носить,Зимой - утепленная одежда и обувь на нескользящей подошве
Дворник,работает_с,Метлы и щетки
Дворник,работает_с,Лопаты для снега и мусора
Дворник,работает_с,Тележки для мусора
Дворник,работает_с,Поливочные шланги
Дворник,работает_с,Реагенты против гололеда
Дворник,работает_с,Садовый инвентарь для ухода за зелеными насаждениями
Дворник,подвержен_риску,Травмы спины от подъема тяжестей
Дворник,подвержен_риску,Порезы от разбитого стекла и острых предметов
Дворник,подвержен_риску,Отравление химическими реагентами
Дворник,подвержен_риску,Переохлаждение в зимний период
Дворник,подвержен_риску,Наезд транспорта при работе у дороги
Дворник,подвержен_риску,Укусы бездомных животных
Дворник,обязан_перед_работой,Осмотреть закрепленную территорию
Дворник,обязан_перед_работой,Проверить исправность инвентаря
Дворник,обязан_перед_работой,Надеть сигнальный жилет при работе у дороги
Дворник,обязан_перед_работой,При использовании химических средств изучить инструкцию по п...
Дворник,обязан_во_время_работы,Соблюдать правила подъема тяжестей
Дворник,обязан_во_время_работы,Использовать средства защиты при работе с реагентами
Дворник,обязан_во_время_работы,Быть осторожным при работе вблизи автомобильных дорог
Дворник,обязан_во_время_работы,Регулярно делать перерывы в работе
Дворник,обязан_после_работы,Очистить и убрать рабочий инвентарь
Дворник,обязан_после_работы,Вымыть руки с мылом
Дворник,обязан_после_работы,Сообщить руководству о замеченных неисправностях
Дворник,обязан_после_работы,Переодеться из рабочей одежды
Дворник,строго_запрещено,Поднимать грузы весом более 20 кг
Дворник,строго_запрещено,Работать с химическими реагентами без средств защиты
Дворник,строго_запрещено,Убирать неизвестные химические вещества без специалистов
Дворник,строго_запрещено,Работать в гололед без противоскользящих средств
Слесарь,должен_носить,Костюм хлопчатобумажный
Слесарь,должен_носить,Ботинки кожаные
Слесарь,должен_носить,Диэлектрические перчатки и галоши
Слесарь,должен_носить,Защитные очки
Слесарь,должен_носить,Каска при работе в стесненных условиях
Слесарь,работает_с,Электродвигатели лифтов и вентиляции
Слесарь,работает_с,Электронасосы водоснабжения
Слесарь,работает_с,Освещение технических помещений
Слесарь,работает_с,Системы автоматики и управления
Слесарь,работает_с,Кабельные линии электроснабжения
Слесарь,подвержен_риску,Поражение электрическим током
Слесарь,подвержен_риску,Механические травмы от вращающихся частей оборудования
Слесарь,подвержен_риску,Ожоги при коротких замыканиях
Слесарь,подвержен_риску,Отравление парами смазочных материалов
Слесарь,подвержен_риску,Падение при работе в колодцах и камерах
Слесарь,обязан_перед_работой,Получить наряд-допуск на производство работ
Слесарь,обязан_перед_работой,Проверить отсутствие напряжения
Слесарь,обязан_перед_работой,Заземлить оборудование
Слесарь,обязан_перед_работой,Подготовить инструмент и проверить его исправность
Слесарь,обязан_перед_работой,Осмотреть рабочее место
Слесарь,обязан_во_время_работы,Соблюдать требования наряда-допуска
Слесарь,обязан_во_время_работы,Использовать только исправные защитные средства
Слесарь,обязан_во_время_работы,При работе на оборудовании под напряжением использовать диэл...
Слесарь,обязан_во_время_работы,Не работать в одиночку в опасных местах
Слесарь,обязан_после_работы,Снять заземления
Слесарь,обязан_после_работы,Восстановить схему электроснабжения
Слесарь,обязан_после_работы,Провести пробный пуск оборудования
Слесарь,обязан_после_работы,Сделать запись о выполненных работах в оперативном журнале
Слесарь,строго_запрещено,Работать на оборудовании под напряжением без соответствующей...
Слесарь,строго_запрещено,Использовать самодельные защитные средства
Слесарь,строго_запрещено,Работать при неисправных блокировках безопасности
Слесарь,строго_запрещено,Оставлять оборудование в ремонте без соответствующих плакато...
Мастер,должен_носить,Костюм для защиты от общих производственных загрязнений
Мастер,должен_носить,Защитная обувь
Мастер,должен_носить,Каска при осмотре технических помещений
