subject,predicate,object
Жилой_дом,относится_к_категории,Вид_объекта
Жилой_дом,ключевое_требование,Безопасность пользователей (жильцов и персонала)
Жилой_дом,основной_документ,Технический регламент 384-ФЗ
Жилой_дом,основной_документ,Правила по охране труда № 883н (при ремонте)
Жилой_дом,частые_опасности,"Падения, пожар, затопление, загазованность подвалов, обрушение старых конструкций"
Жилой_дом,включает_систему,Лифтовое оборудование
Жилой_дом,включает_систему,Системы водоснабжения и канализации
Жилой_дом,включает_систему,Электроснабжение
Промышленный_объект,относится_к_категории,Вид_объекта
Промышленный_объект,может_быть,Опасный производственный объект (ОПО)
Промышленный_объект,основной_документ,Федеральный закон № 116-ФЗ (промбезопасность)
Промышленный_объект,поднадзорен,Ростехнадзор
Промышленный_объект,частые_опасности,"Взрыв, опасные химические вещества, термические ожоги, сложные механизмы"
Промышленный_объект,включает_систему,Котельные агрегаты
Промышленный_объект,включает_систему,Газовое оборудование
Промышленный_объект,включает_систему,Крупные подъемные сооружения
Общественное_здание,относится_к_категории,Вид_объекта
Общественное_здание,ключевое_требование,"Эвакуация, пожарная безопасность, доступность"
Общественное_здание,основной_документ,Технический регламент 384-ФЗ
Общественное_здание,включает_систему,Вентиляция и кондиционирование
Общественное_здание,частые_опасности,"Массовое скопление людей при пожаре, падение на лестницах"
Приказ_883н,регулирует,"Охрана труда в строительстве, реконструкции и ремонте"
Приказ_883н,статус,Действует до 2031 года
Приказ_883н,ключевая_мера,Оформление наряда-допуска на высотные и земляные работы
Приказ_883н,требует,Применение сертифицированных СИЗ
ФЗ_384,регулирует,Технический регламент о безопасности зданий и сооружений
ФЗ_384,применяется_на_этапе,"Проектирование, строительство, эксплуатация, снос"
ФЗ_384,ключевая_мера,Предотвращение несчастных случаев для пользователей здания
ФЗ_116,регулирует,Промышленная безопасность ОПО
ФЗ_116,требует,"Аттестация персонала, лицензирование, расследование аварий"
ФЗ_116,применяется_на_этапе,Эксплуатация промышленных объектов
СП_12-135,статус,"Отменен, но используется как базис для инструкций"
СП_12-135,содержит,Отраслевые типовые инструкции по охране труда
Проектирование,является,Этап_жизненного_цикла
Проектирование,основные_правила,ФЗ_384
Строительство,является,Этап_жизненного_цикла
Строительство,основные_правила,Приказ_883н
Строительство,основные_правила,ФЗ_384
Строительство,типичные_работы,"Земляные работы, высотные работы, сварочные работы, монтаж конструкций"
Эксплуатация,является,Этап_жизненного_цикла
Эксплуатация,включает,"Работы ЖКХ, обслуживание инженерных систем"
Эксплуатация,основные_правила,"ФЗ_384, отраслевые правила ЖКХ, ФЗ_116 (для ОПО)"
Эксплуатация,типичные_работы,"Обслуживание лифтов, работы в колодцах, кровельные работы, аварийные работы"
Снос,является,Этап_жизненного_цикла
Снос,основные_правила,"Приказ_883н, ФЗ_384"
Группа_по_электробезопасности,является,Допуск
Группа_по_электробезопасности,обязательно_для,Электрик
Удостоверение_лифтера,является,Допуск
Удостоверение_лифтера,обязательно_для,Лифтер
Наряд-допуск,является,Организационная мера
Наряд-допуск,обязательно_для,Высотные работы
Наряд-допуск,обязательно_для,Земляные работы
Наряд-допуск,обязательно_для,Огневые работы
Наряд-допуск,обязательно_для,Работы в замкнутых пространствах
Вводный_инструктаж,проводит,Специалист по охране труда
Первичный_инструктаж,проводит,Непосредственный руководитель
Повторный_инструктаж,периодичность,Раз в 3 месяца
Целевой_инструктаж,проводится_перед,Разовыми или аварийными работами
Ограждение_рабочей_зоны,является,Техническая мера
Ограждение_рабочей_зоны,применяется_при,Высотные работы
Ограждение_рабочей_зоны,применяется_при,Земляные работы
Проверка_загазованности,является,Техническая мера
Проверка_загазованности,применяется_при,Работы в колодцах
Принудительная_вентиляция,является,Техническая мера
Принудительная_вентиляция,применяется_при,"Работы в колодцах, обслуживание котельных"
Лифтовое_оборудование,имеет_опасность,"Падение кабины, зажатие дверью"
Котельные_агрегаты,имеет_опасность,"Взрыв, ожоги, отравление продуктами сгорания"
Системы_водоснабжения_и_канализации,имеет_опасность,"Затопление, загазованность (метан, сероводород)"
Электроснабжение,имеет_опасность,"Поражение электрическим током, электрические ожоги"
