Кто/Что,Отношение,К чему/С чем
Автокран,запрещено,Работа при неисправных тормозах
Автокран,запрещено,Подъем людей
Автокран,запрещено,Работа вблизи ЛЭП без допуска
Автокран,обслуживание,Ежесменный осмотр
Автокран,обслуживание,Периодическое ТО
Автокран,обслуживание,Освидетельствование Ростехнадзора
Автокран,имеет_опасность,Опрокидывание
Автокран,имеет_опасность,Обрыв канатов
Автокран,имеет_опасность,Падение груза
Автокран,имеет_опасность,Поражение током от ЛЭП
Автокран,имеет_требование,Проверка технического состояния
Автокран,имеет_требование,Установка на твердом основании
Автокран,имеет_требование,Соблюдение грузоподъемности
Бетонщик,должен_носить,Резиновые сапоги
Бетонщик,должен_носить,Защитные перчатки
Бетонщик,должен_носить,Каска
Бетонщик,должен_носить,Спецодежда
Бетонщик,обязан,Использовать СИЗ от химического воздействия
Бетонщик,обязан,Делать перерывы при работе с вибратором
Бетонщик,подвержен_риску,Химические ожоги от цемента
Бетонщик,подвержен_риску,Вибрационная болезнь
Бетонщик,подвержен_риску,Поражение электрическим током
Бетонщик,работает_с,Бетонная смесь
Бетонщик,работает_с,Вибратор
Бетонщик,работает_с,Бетононасос
Бетонщик,работает_с,Опалубка
Вводный,ИНСТРУКТАЖ_общие_правила,Проводится специалистом по охране труда при приеме...
Вводный,ИНСТРУКТАЖ_общие_правила,требований к СИЗ
Вводный,ИНСТРУКТАЖ_общие_правила,правил внутреннего трудового распорядка
Вводный,ИНСТРУКТАЖ_общие_правила,порядка действий при авариях
Вводный,ИНСТРУКТАЖ_периодичность,При приеме на работу
Вводный,ИНСТРУКТАЖ_проводит,Специалист по охране труда
Вводный,ИНСТРУКТАЖ_содержание,Общие правила ОТ
Вводный,ИНСТРУКТАЖ_содержание,Внутренний распорядок
Вводный,ИНСТРУКТАЖ_содержание,СИЗ
Вводный,ИНСТРУКТАЖ_содержание,Первая помощь
Внеплановый,ИНСТРУКТАЖ_причины,Изменение технологии
Внеплановый,ИНСТРУКТАЖ_причины,Несчастный случай
Внеплановый,ИНСТРУКТАЖ_причины,Нарушения требований ОТ
Высотные,тип_СИЗ,Страховочный пояс
Высотные,тип_СИЗ,Каска
Высотные,тип_СИЗ,Страховочный канат
Высотные,тип_СИЗ,Защитная обувь
Высотные,запрещено,Работать без страховки
Высотные,запрещено,Перебрасывать инструмент
Высотные,запрещено,Работать при ветре более 15м/с
Высотные,имеет_опасность,Падение работника
Высотные,имеет_опасность,Падение инструмента
Высотные,имеет_опасность,Обрыв страховочных систем
Высотные,РАБОТЫ_определение,Работы на высоте более 1
Высотные,РАБОТЫ_определение,3м или при опасности падения с меньшей высоты
Высотные,имеет_требование,Использование страховочных систем
Высотные,имеет_требование,Ограждение рабочих мест
Высотные,имеет_требование,Проверка крепления конструкций
Защита,тип_СИЗ,Каска строительная
Защита,ГОЛОВЫ_замена,При появлении трещин или повреждений
Защита,защищает_от,Падающие предметы
Защита,защищает_от,Удары о конструкции
Защита,защищает_от,Поражение электротоком до 1000В
Защита,имеет_требование,Обязательно для всех на стройплощадке
Защита,имеет_требование,Проверка целостности
Защита,имеет_требование,Правильная регулировка
Защита,тип_СИЗ,Ботинки с металлическим подноском
Защита,тип_СИЗ,Резиновые сапоги
Защита,тип_СИЗ,Диэлектрические боты
Защита,защищает_от,Падающие предметы
Защита,защищает_от,Проколы
Защита,защищает_от,Химические вещества
Защита,защищает_от,Электрический ток
Защита,тип_СИЗ,Респираторы
Защита,тип_СИЗ,Противогазы
Защита,тип_СИЗ,Самоспасатели
Защита,защищает_от,Пыль
Защита,защищает_от,Газы
Защита,защищает_от,Пары
Защита,защищает_от,Аэрозоли
Защита,применяется_для,В замкнутых пространствах
Защита,применяется_для,при работе с химическими веществами
Защита,тип_СИЗ,Страховочный пояс
Защита,тип_СИЗ,Страховочная привязь
Защита,тип_СИЗ,Канаты
Защита,тип_СИЗ,Амортизаторы
Защита,ОТ_ПАДЕНИЯ_контроль,Визуальный осмотр
Защита,ОТ_ПАДЕНИЯ_контроль,Испытания согласно графику
Защита,применяется_для,Обязательно на высоте более 1
Защита,применяется_для,3м
Защита,имеет_требование,Крепление к надежным конструкциям
Защита,имеет_требование,Проверка перед каждым использованием
Защита,имеет_требование,Сертификация
Защита,тип_СИЗ,Перчатки х/б
Защита,тип_СИЗ,Перчатки резиновые
Защита,тип_СИЗ,Перчатки кожаные
Защита,тип_СИЗ,Перчатки диэлектрические
Защита,защищает_от,Механические повреждения
Защита,защищает_от,Химические вещества
Защита,защищает_от,Электрический ток
Защита,защищает_от,Высокие/низкие температуры
Земляные,РАБОТЫ_включают,Раскопки
Земляные,РАБОТЫ_включают,Планировка
Земляные,РАБОТЫ_включают,Выемка грунта
Земляные,РАБОТЫ_включают,Засыпка
Земляные,РАБОТЫ_включают,Уплотнение
Земляные,запрещено,Спуск в траншею без укреплений
Земляные,запрещено,Складирование грунта ближе 0
Земляные,запрещено,5м от края
Земляные,имеет_опасность,Обрушение стенок котлована
Земляные,имеет_опасность,Попадание в траншею
Земляные,имеет_опасность,Повреждение подземных коммуникаций
Земляные,имеет_требование,Укрепление стенок траншей глубиной более 1
Земляные,имеет_требование,5м
Земляные,имеет_требование,Ограждение краев траншей
Каменщик,обязан_во_время_работы,Правильно поднимать тяжести с прямой спиной
Каменщик,обязан_во_время_работы,Не перегружать леса материалами сверх нормы
Каменщик,обязан_во_время_работы,Работать только исправным инструментом
Каменщик,обязан_во_время_работы,Не бросать кирпич и инструмент с высоты
Каменщик,должен_носить,Каска защитная
Каменщик,должен_носить,Защитные перчатки с усиленными ладонями
Каменщик,должен_носить,Спецодежда хлопчатобумажная
Каменщик,должен_носить,Защитная обувь с жестким подноском
Каменщик,должен_носить,Наколенники при работе на корточках
Каменщик,обязан,Проверить прочность лесов
Каменщик,обязан,Правильно поднимать тяжести
Каменщик,обязан,Содержать инструмент в исправности
Каменщик,обязан_перед_работой,Проверить прочность и устойчивость лесов и подмост...
Каменщик,обязан_перед_работой,Осмотреть кладочный инструмент на исправность
Каменщик,обязан_перед_работой,Убедиться в наличии ограждений на высоте
Каменщик,обязан_перед_работой,Проверить качество и консистенцию раствора
Каменщик,подвержен_риску,Падение с лесов и подмостей
Каменщик,подвержен_риску,Травмы спины от подъема тяжестей
Каменщик,подвержен_риску,Порезы и ушибы от инструмента
Каменщик,подвержен_риску,Попадание раствора в глаза
Каменщик,подвержен_риску,Заболевания суставов от работы в неудобной позе
Каменщик,обязан_после_работы,Очистить и убрать инструмент в отведенное место
Каменщик,обязан_после_работы,Убрать с лесов остатки раствора и строительный мус...
Каменщик,обязан_после_работы,Проверить надежность временно оставляемой кладки
Каменщик,работает_с,Кирпич керамический и силикатный
Каменщик,работает_с,Раствор цементный и известковый
Каменщик,работает_с,Строительные леса и подмости
Каменщик,работает_с,Кладочный инструмент (мастерок
Каменщик,работает_с,молоток-кирочка
Каменщик,работает_с,отвес
Каменщик,работает_с,уровень)
Каменщик,строго_запрещено,Работать на неисправных лесах без ограждений
Каменщик,строго_запрещено,Поднимать тяжести более 30 кг одному работнику
Каменщик,строго_запрещено,Работать инструментом с разболтанными рукоятками
Каменщик,строго_запрещено,Оставлять инструмент на краю лесов
Каска,имеет_требование,Должна иметь сертификат соответствия ГОСТ
Каска,имеет_требование,проверяться на наличие трещин перед каждым использ...
Каска,имеет_требование,регулироваться по размеру головы
Каска,имеет_требование,заменяться при любых повреждениях
Крановщик,обязан_во_время_работы,Строго соблюдать грузоподъемность крана
Крановщик,обязан_во_время_работы,Работать только по сигналам стропальщика
Крановщик,обязан_во_время_работы,Не оставлять груз в подвешенном состоянии
Крановщик,обязан_во_время_работы,Следить за состоянием тормозных систем
Крановщик,должен_носить,Каска защитная
Крановщик,должен_носить,Спецодежда
Крановщик,должен_носить,Защитная обувь с нескользящей подошвой
Крановщик,запрещено,Работать при ветре более 15 м/с
Крановщик,запрещено,Поднимать людей в грузовой таре
Крановщик,запрещено,Работать с неисправными тормозами
Крановщик,обязан,Проверить техническое состояние крана
Крановщик,обязан,Соблюдать грузоподъемность
Крановщик,обязан,Подавать предупредительные сигналы
Крановщик,обязан_перед_работой,Проверить техническое состояние крана согласно чек...
Крановщик,обязан_перед_работой,Убедиться в отсутствии людей в опасной зоне
Крановщик,обязан_перед_работой,Проверить исправность тормозных систем и ограничит...
Крановщик,обязан_перед_работой,Осмотреть канаты на предмет обрывов проволок
Крановщик,подвержен_риску,Опрокидывание крана при превышении грузоподъемност...
Крановщик,подвержен_риску,Падение груза при обрыве каната
Крановщик,подвержен_риску,Поражение электрическим током от ЛЭП
Крановщик,подвержен_риску,Травмы при обслуживании механизмов
Крановщик,обязан_после_работы,Опустить крюк в крайнее нижнее положение
Крановщик,обязан_после_работы,Поставить кран на тормоза
Крановщик,обязан_после_работы,Отключить механизмы крана
Крановщик,обязан_после_работы,Произвести техническое обслуживание согласно регла...
Крановщик,работает_с,Автокран грузоподъемностью до 25т
Крановщик,работает_с,Башенный кран
Крановщик,работает_с,Стропы и грузозахватные приспособления
Крановщик,работает_с,Системы управления краном
Крановщик,строго_запрещено,Работать при скорости ветра более 15 м/с для башен...
Крановщик,строго_запрещено,Поднимать людей в грузовой таре или на крюке
Крановщик,строго_запрещено,Работать с неисправными тормозами или ограничителя...
Крановщик,строго_запрещено,Превышать установленную грузоподъемность
Машинист,должен_носить,Каска
Машинист,должен_носить,Спецодежда
Машинист,должен_носить,Защитная обувь
Машинист,запрещено,Использовать экскаватор как кран без доп.оборудова...
Машинист,запрещено,Резко поворачивать на склонах
Машинист,ЭКСКАВАТОРА_обязан,Проверить техническое состояние
Машинист,ЭКСКАВАТОРА_обязан,Соблюдать безопасное расстояние от траншей
Машинист,подвержен_риску,Опрокидывание машины
Машинист,подвержен_риску,Попадание в траншею
Машинист,подвержен_риску,Повреждение коммуникаций
Машинист,работает_с,Экскаватор
Машинист,работает_с,Ковш
Машинист,работает_с,Гидравлическая система
Механические,ТРАВМЫ_причины,Неисправный инструмент
Механические,ТРАВМЫ_причины,Неправильные приемы работы
Механические,ТРАВМЫ_причины,Отсутствие ограждений механизмов
Механические,ТРАВМЫ_профилактика,Проверка инструмента
Механические,ТРАВМЫ_профилактика,Обучение безопасным приемам
Механические,ТРАВМЫ_профилактика,Ограждение движущихся частей
Монтажник,обязан_во_время_работы,Постоянно использовать страховочную привязь
Монтажник,обязан_во_время_работы,Не находиться под поднимаемыми грузами
Монтажник,обязан_во_время_работы,Подавать сигналы машинисту крана согласно установл...
Монтажник,обязан_во_время_работы,Не перегружать леса и подмости
Монтажник,должен_носить,Страховочная привязь с амортизатором
Монтажник,должен_носить,Каска защитная с подбородочным ремнем
Монтажник,должен_носить,Спецобувь с нескользящей подошвой
Монтажник,должен_носить,Защитные перчатки
Монтажник,должен_носить,Сигнальная жилетка при работе вблизи транспорта
Монтажник,обязан,Проверить крепления лесов
Монтажник,обязан,Использовать страховку
Монтажник,обязан,Соблюдать технологию монтажа
Монтажник,обязан_перед_работой,Проверить исправность страховочной системы
Монтажник,обязан_перед_работой,Осмотреть леса и подмости на прочность крепления
Монтажник,обязан_перед_работой,Проверить исправность инструмента
Монтажник,обязан_перед_работой,Получить инструктаж о безопасных методах работы
Монтажник,подвержен_риску,Падение с высоты при монтажных работах
Монтажник,подвержен_риску,Падение предметов и конструкций сверху
